Date,BCHAIN/DIFF,BCHAIN/AVBLS,BCHAIN/HRATE,BCHAIN/TOTBC
2009-05-06,1.0,0.000205993652344,6.81030693925926e-06,683650.0
2009-05-07,1.0,0.000205954567331,6.06465289481e-06,689750.0
2009-05-08,1.0,0.000215935185185185,4.5236345363000005e-06,689150.0
2009-05-09,1.0,0.000205701397311,4.5236345362963e-06,697400.0
2009-05-10,1.0,0.000208710422035,5.91552208593e-06,703350.0
2009-05-11,1.0,0.000218858333333333,6.31320424296e-06,709700.0
2009-05-12,1.0,0.000209178095279,6.31320424296296e-06,715450.0
2009-05-13,1.0,0.000212834293681,6.61146586074e-06,711450.0
2009-05-14,1.0,0.000221086330935252,7.10856855704e-06,729250.0
2009-05-15,1.0,0.000215848286947,7.10856855703704e-06,734950.0
2009-05-16,1.0,0.000205947875977,6.2137837036999994e-06,734200.0
2009-05-17,1.0,0.00021596062992126,6.16407343407e-06,747400.0
2009-05-18,1.0,0.000205888748169,6.16407343407407e-06,752400.0
2009-05-19,1.0,0.000205709384038,5.16986804148e-06,757600.0
2009-05-20,1.0,0.000215733333333333,4.42421399704e-06,756900.0
2009-05-21,1.0,0.00020597067224,4.42421399703704e-06,766200.0
2009-05-22,1.0,0.000205993652344,3.47971887407e-07,766550.0
2009-05-23,1.0,0.000215935483870968,4.77218588444e-06,771350.0
2009-05-24,1.0,0.000205942562648,4.77218588444444e-06,776950.0
2009-05-25,1.0,0.000205943014769,5.617260468149999e-06,782600.0
2009-05-26,1.0,0.000215904,6.2137837036999994e-06,780000.0
2009-05-27,1.0,0.000205919580552,6.2137837037037e-06,794000.0
2009-05-28,1.0,0.000267224891163,5.318998850369999e-06,799350.0
2009-05-29,1.0,0.00028083962264151,5.120157771849999e-06,804500.0
2009-05-30,1.0,0.000205993652344,5.12015777185185e-06,802850.0
2009-05-31,1.0,0.000209547068975,3.6288496829599995e-06,814050.0
2009-06-01,1.0,0.000219830985915493,4.42421399704e-06,818500.0
2009-06-02,1.0,0.000205983920973,4.42421399703704e-06,823400.0
2009-06-03,1.0,0.000205969199156,1.9387005155599998e-06,825350.0
2009-06-04,1.0,0.000215938461538461,2.83348536889e-06,825050.0
2009-06-05,1.0,0.000205198923747,2.83348536888889e-06,829400.0
2009-06-06,1.0,0.000205993652344,1.9884107851899998e-07,829600.0
2009-06-07,1.0,0.0002159375,3.57913941333e-06,833200.0
2009-06-08,1.0,0.000205770451972,3.57913941333333e-06,837900.0
2009-06-09,1.0,0.000205924712032,4.12595237926e-06,842050.0
2009-06-10,1.0,0.000215926829268292,4.623055075559999e-06,846700.0
2009-06-11,1.0,0.000205920292781,4.62305507555556e-06,847500.0
2009-06-12,1.0,0.000205439490241,3.6785599525899998e-06,854950.0
2009-06-13,1.0,0.000215448717948718,3.47971887407e-06,858450.0
2009-06-14,1.0,0.000205888980772,3.47971887407407e-06,862550.0
2009-06-15,1.0,0.000205849947995,3.6288496829599995e-06,866200.0
2009-06-16,1.0,0.000215732394366197,3.82769076148e-06,870050.0
2009-06-17,1.0,0.000205769950961,3.82769076148148e-06,869850.0
2009-06-18,1.0,0.000205785378642,4.32479345778e-06,878450.0
2009-06-19,1.0,0.00021567816091954,4.17566264889e-06,882650.0
2009-06-20,1.0,0.00020565032959,4.17566264888889e-06,886400.0
2009-06-21,1.0,0.000287890434265,3.97682157037e-06,890400.0
2009-06-22,1.0,0.000306381578947368,3.77798049185e-06,894200.0
2009-06-23,1.0,0.000211771796731,3.77798049185185e-06,892550.0
2009-06-24,1.0,0.000205787452492,3.6785599525899998e-06,902150.0
2009-06-25,1.0,0.00024975,4.42421399704e-06,906600.0
2009-06-26,1.0,0.000205668281106,4.42421399703704e-06,910850.0
2009-06-27,1.0,0.00021021973853,2.53522375111e-06,913400.0
2009-06-28,1.0,0.000220739130434783,3.77798049185e-06,917200.0
2009-06-29,1.0,0.000213294193662,3.77798049185185e-06,915850.0
2009-06-30,1.0,0.000208969575813,4.12595237926e-06,925700.0
2009-07-01,1.0,0.000219432432432432,3.57913941333e-06,929300.0
2009-07-02,1.0,0.000208590404097,3.57913941333333e-06,933450.0
2009-07-03,1.0,0.000205897213368,4.42421399704e-06,937900.0
2009-07-04,1.0,0.000215876404494382,3.97682157037e-06,938150.0
2009-07-05,1.0,0.000205972692469,3.97682157037037e-06,946450.0
2009-07-06,1.0,0.000205978514656,3.13174698667e-06,949600.0
2009-07-07,1.0,0.000215942028985507,3.92711130074e-06,953550.0
2009-07-08,1.0,0.00020573462969,3.92711130074074e-06,957600.0
2009-07-09,1.0,0.000205877350598,4.07624210963e-06,961700.0
2009-07-10,1.0,0.000215864197530864,4.17566264889e-06,960450.0
2009-07-11,1.0,0.00020580542715,4.17566264888889e-06,969700.0
2009-07-12,1.0,0.000205930910612,3.77798049185e-06,973500.0
2009-07-13,1.0,0.000215910256410256,3.57913941333e-06,977100.0
2009-07-14,1.0,0.000205931456193,3.57913941333333e-06,979400.0
2009-07-15,1.0,0.000205938366876,3.4300086044400002e-06,982850.0
2009-07-16,1.0,0.000215859154929577,3.23116752593e-06,983550.0
2009-07-17,1.0,0.000205039978027,3.23116752592593e-06,986250.0
2009-07-18,1.0,0.000205791913546,2.58493402074e-06,988850.0
2009-07-19,1.0,0.000215811594202898,3.7282702222199996e-06,992600.0
2009-07-20,1.0,0.000385245761356,3.72827022222222e-06,996300.0
2009-07-21,1.0,0.00020556518997,3.4300086044400002e-06,999750.0
2009-07-22,1.0,0.000215393442622951,3.28087779556e-06,1003050.0
2009-07-23,1.0,0.000205879211426,3.28087779555556e-06,1006800.0
2009-07-24,1.0,0.000205903683069,2.6346442903699998e-06,1006800.0
2009-07-25,1.0,0.000215848484848485,6.46233505185e-07,1010100.0
2009-07-26,1.0,0.000205829739571,6.46233505185185e-07,1013300.0
2009-07-27,1.0,0.000205755233765,2.1872518636999997e-06,1015500.0
2009-07-28,1.0,0.000215707317073171,1.59072862815e-06,1017100.0
2009-07-29,1.0,0.000239985329764,1.59072862814815e-06,1017800.0
2009-07-30,1.0,0.000205834706624,5.96523235556e-07,1018400.0
2009-07-31,1.0,0.000215705882352941,1.1433362014799999e-06,1019550.0
2009-08-01,1.0,0.000205834706624,1.14333620148148e-06,1021050.0
2009-08-02,1.0,0.000205548604329,7.456540444439999e-07,1021800.0
2009-08-03,1.0,0.000215833333333333,2.88319563852e-06,1024700.0
2009-08-04,1.0,0.000205773573655,2.88319563851852e-06,1029250.0
2009-08-05,1.0,0.000205834706624,4.77218588444e-06,1029400.0
2009-08-06,1.0,0.000215922222222222,3.6785599525899998e-06,1037750.0
2009-08-07,1.0,0.000354383049942,3.67855995259259e-06,1041850.0
2009-08-08,1.0,0.000205964458232,4.8716064237e-06,1046750.0
2009-08-09,1.0,0.000216,4.07624210963e-06,1050850.0
2009-08-10,1.0,0.000205908248674,4.07624210962963e-06,1054200.0
2009-08-11,1.0,0.000205699135275,3.38029833481e-06,1052500.0
2009-08-12,1.0,0.000215523809523809,4.02653184e-06,1061650.0
2009-08-13,1.0,0.000205861605131,4.02653184e-06,1064900.0
2009-08-14,1.0,0.000205516815186,1.6901491674099998e-06,1066600.0
2009-08-15,1.0,0.000215384615384615,1.24275674074e-06,1067850.0
2009-08-16,1.0,0.000205825356876,1.24275674074074e-06,1068700.0
2009-08-17,1.0,0.000205887688531,4.47392426667e-07,1069150.0
2009-08-18,1.0,0.000216,7.456540444439999e-07,1069900.0
2009-08-19,1.0,0.000205318133036,7.45654044444445e-07,1071100.0
2009-08-20,1.0,0.000205039978027,7.95364314074e-07,1071900.0
2009-08-21,1.0,0.000215,3.97682157037e-07,1072300.0
2009-08-22,1.0,0.000205596288045,3.97682157037037e-07,1072900.0
2009-08-23,1.0,0.000205159187317,3.97682157037e-07,1073300.0
2009-08-24,1.0,0.000215,2.73406482963e-06,1076050.0
2009-08-25,1.0,0.000205880119687,2.73406482962963e-06,1075100.0
2009-08-26,1.0,0.00038849512736,1.49130808889e-06,1079650.0
2009-08-27,1.0,0.000215344827586207,3.1814572563e-06,1082850.0
2009-08-28,1.0,0.000205763851304,3.1814572562963e-06,1087000.0
2009-08-29,1.0,0.000207477145725,4.47392426667e-06,1091500.0
2009-08-30,1.0,0.000217381443298969,4.67276534519e-06,1096200.0
2009-08-31,1.0,0.000205836718595,4.67276534518518e-06,1100150.0
2009-09-01,1.0,0.000205811332254,3.38029833481e-06,1098250.0
2009-09-02,1.0,0.000215846153846154,2.98261617778e-06,1106550.0
2009-09-03,1.0,0.000205690898593,2.98261617777778e-06,1109700.0
2009-09-04,1.0,0.00020587276405,3.5294291437e-06,1113250.0
