date,open,high,low,close,volume,market cap,textBlob_polarity,textBlob_subjectivity,vader_compound,vader_negative_score,vader_neutral_score,vader_positive_score,finBert_text_positive_score,finBert_text_negative_score,finBert_text_neutral_score,finBert_title_positive_score,finBert_title_negative_score,finBert_title_neutral_score,num_art,finbert_text_label,finbert_title_label,textBlob_label,vader_label,lm_label
2022-11-17,272.0883076924685,273.22245809144874,264.39851303156723,267.91130937249005,854777254.71,42858741189.08,-0.05,0.05,-0.1531,0.126,0.754,0.12,0.099,0.881,0.02,0.906,0.038,0.056,1.0,negative,positive,negative,neutral,negative
2022-11-16,276.8629959534928,279.7919790966004,269.6501842122076,272.0815946415065,908816092.2,43525943306.37,-0.023677248677248706,0.14393109095490045,0.22783333333333333,0.11433333333333334,0.7576666666666667,0.128,0.20766666666666667,0.5986666666666667,0.19400000000000006,0.6113333333333334,0.03933333333333333,0.3493333333333334,1.0,negative,positive,negative,neutral,positive
2022-11-15,278.62803091881887,281.8825501400074,274.0931228316026,276.87402385931523,1116291059.69,44292678773.44,0.002645502645502597,0.2378621819098009,0.6087666666666667,0.10266666666666667,0.7613333333333333,0.13599999999999998,0.31633333333333336,0.31633333333333336,0.36800000000000005,0.3166666666666667,0.04066666666666667,0.6426666666666667,1.0,neutral,neutral,positive,positive,positive
2022-11-14,276.6222624188827,290.71963301155984,268.2330467404413,278.57843187759283,1541330420.2,44565408017.59,0.0289682539682539,0.3317932728647014,0.9897,0.091,0.765,0.144,0.425,0.034,0.542,0.022,0.042,0.936,1.0,neutral,neutral,positive,positive,positive
2022-11-13,282.36527764236627,286.0844663627028,274.05270737789067,276.5794279744602,956106803.89,44245687907.86,0.0014492753623188,0.4170289855072464,0.9885,0.019,0.808,0.173,0.023,0.047,0.93,0.023,0.033,0.944,1.0,neutral,neutral,positive,positive,positive
2022-11-12,289.8576474259072,290.3691690196455,272.04611232651246,282.3412779962689,1189401391.87,45167505777.85,-0.0007359601449275759,0.39098354468599034,0.8557750000000001,0.033625,0.81025,0.15612499999999999,0.027874999999999997,0.05,0.922,0.03575,0.035750000000000004,0.9286249999999999,1.25,neutral,neutral,negative,positive,positive
2022-11-11,303.9868659563069,304.9127809261631,280.6268664579651,289.8205589412148,1625174425.99,46364088778.7,-0.0029211956521739517,0.3649381038647343,0.72305,0.04825,0.8125,0.13924999999999998,0.032749999999999994,0.053,0.914,0.0485,0.0385,0.9132499999999999,1.5,neutral,neutral,negative,positive,positive
2022-11-10,266.88576424754467,311.07401932459186,264.4677301391434,304.0800529647818,2461275687.15,48645327657.74,-0.0051064311594203275,0.33889266304347826,0.590325,0.062875,0.81475,0.122375,0.037625,0.055999999999999994,0.906,0.06125,0.041249999999999995,0.897875,1.75,neutral,neutral,negative,positive,positive
2022-11-09,327.8196580031317,332.0609975275632,261.73025629162385,266.8531311753021,3191459131.71,42690010298.04,-0.007291666666666703,0.3128472222222222,0.4576,0.0775,0.817,0.1055,0.042499999999999996,0.059,0.898,0.074,0.044,0.8825,2.0,neutral,neutral,negative,neutral,positive
2022-11-08,336.9876401579619,388.7155250829237,302.7518822258455,327.69028096416685,5390603524.7,52422579607.15,0.013119834710743752,0.34833103764921947,0.56524,0.06540000000000001,0.8021999999999999,0.1326,0.040799999999999996,0.051199999999999996,0.9076,0.076,0.0418,0.8825999999999999,1.7999999999999998,neutral,neutral,positive,positive,positive
